date,direction,entry_time,exit_time,entry_price,exit_price,points,gross_pnl,net_pnl,exit_reason,gap_through_entry,ambiguous_entry,ambiguous_exit,equity_curve
2026-05-15,long,2026-05-15 06:45:00-07:00,2026-05-15 06:47:00-07:00,29167.75,29090.5,-77.25,-154.5,-154.75,stop_or_trail,True,True,False,-154.75
2026-05-15,long,2026-05-15 06:59:00-07:00,2026-05-15 07:02:00-07:00,29165.0,29200.5,35.5,71.0,70.75,stop_or_trail,True,True,True,-84.0
2026-05-18,long,2026-05-18 09:26:00-07:00,2026-05-18 09:28:00-07:00,28951.25,28873.75,-77.5,-155.0,-155.25,stop_or_trail,True,True,False,-239.25
2026-05-18,long,2026-05-18 09:33:00-07:00,2026-05-18 09:37:00-07:00,28925.25,28944.0,18.75,37.5,37.25,stop_or_trail,False,True,True,-202.0
2026-05-19,long,2026-05-19 07:07:00-07:00,2026-05-19 07:14:00-07:00,28833.5,28752.0,-81.5,-163.0,-163.25,stop_or_trail,True,True,False,-365.25
2026-05-19,long,2026-05-19 07:57:00-07:00,2026-05-19 08:04:00-07:00,28803.5,28818.25,14.75,29.5,29.25,stop_or_trail,False,True,True,-336.0
2026-05-20,short,2026-05-20 06:46:00-07:00,2026-05-20 06:51:00-07:00,29132.25,29084.25,48.0,96.0,95.75,stop_or_trail,True,True,True,-240.25
2026-05-20,short,2026-05-20 07:16:00-07:00,2026-05-20 07:17:00-07:00,29125.25,29221.0,-95.75,-191.5,-191.75,stop_or_trail,True,True,False,-432.0
2026-05-21,short,2026-05-21 10:21:00-07:00,2026-05-21 10:23:00-07:00,29441.75,29379.25,62.5,125.0,124.75,stop_or_trail,True,True,True,-307.25
2026-05-21,short,2026-05-21 10:37:00-07:00,2026-05-21 10:52:00-07:00,29452.25,29513.5,-61.25,-122.5,-122.75,stop_or_trail,True,True,False,-430.0
2026-05-22,short,2026-05-22 06:37:00-07:00,2026-05-22 06:40:00-07:00,29651.0,29715.75,-64.75,-129.5,-129.75,stop_or_trail,True,True,False,-559.75
2026-05-22,short,2026-05-22 06:42:00-07:00,2026-05-22 06:43:00-07:00,29664.25,29632.75,31.5,63.0,62.75,stop_or_trail,False,True,True,-497.0
