date,exit_time,equity_curve
2026-05-15,2026-05-15 06:47:00-07:00,-157.75
2026-05-15,2026-05-15 07:02:00-07:00,-90.0
2026-05-18,2026-05-18 09:28:00-07:00,-248.25
2026-05-18,2026-05-18 09:37:00-07:00,-214.0
2026-05-19,2026-05-19 07:14:00-07:00,-380.25
2026-05-19,2026-05-19 08:04:00-07:00,-354.0
2026-05-20,2026-05-20 06:51:00-07:00,-261.25
2026-05-20,2026-05-20 07:17:00-07:00,-456.0
2026-05-21,2026-05-21 10:23:00-07:00,-334.25
2026-05-21,2026-05-21 10:52:00-07:00,-460.0
2026-05-22,2026-05-22 06:40:00-07:00,-592.75
2026-05-22,2026-05-22 06:43:00-07:00,-533.0
